City_ID,City,Lat,Lng,Max Temp (K),Humidity,Cloudiness,Wind Speed,Country,Date
311,Agadir,30.4202,-9.5982,285.4,27,100,4.94,MA,1706672878
312,Labrador City,52.9463,-66.9114,262.69,64,100,8.75,CA,1706672878
313,Bonnyville,54.2668,-110.735,279.04,65,9,6.28,CA,1706672878
314,Singkil,-7.9855,111.4161,303.31,70,19,1.48,ID,1706672879
315,Los Altos,37.3852,-122.1141,290.12,62,100,4.63,US,1706672779
316,Novyy Urgal,51.0736,132.5642,248.9,84,96,0.29,RU,1706672880
317,Mossamedes,-15.1961,12.1522,297.31,81,15,1.51,AO,1706672880
318,Dhidhdhoo,6.8833,73.1,301.12,73,74,3.36,MV,1706672881
319,Rājgarh,28.6333,75.3833,290.12,51,89,4.47,IN,1706672881
320,Martil,35.6166,-5.2752,289.13,77,92,6.69,MA,1706672882
321,Keminmaa,65.8596,24.8228,272.02,93,100,9.77,FI,1706672882
322,Kupiansk,49.7209,37.5998,269.96,89,100,1.92,UA,1706672883
323,Usogorsk,63.4106,48.6872,268.52,96,97,3.2,RU,1706672883
324,Nikolayevsk-on-Amur,53.1406,140.73,256.91,80,84,4.01,RU,1706672884
325,Pangody,65.85,74.4859,250.63,94,16,6.56,RU,1706672884
326,Chokwé,-24.5333,32.9833,295.11,89,67,2.61,MZ,1706672885
327,Mount Isa,-20.7333,139.5,300.02,83,100,7.72,AU,1706672885
328,Penzance,50.1186,-5.5371,280.53,75,18,5.77,GB,1706672816
329,Kruisfontein,-34.0033,24.7314,292.53,75,100,3.01,ZA,1706672886
330,Tangalle,6.024,80.7911,301.24,75,43,2.34,LK,1706672851
331,Las Khorey,11.1595,48.1967,297.27,78,45,0.5,SO,1706672887
332,Raduzhny,62.0961,77.475,251.34,97,84,4.11,RU,1706672887
333,Quelimane,-17.8786,36.8883,297.12,94,75,0.0,MZ,1706672888
334,Villa Ojo de Agua,-29.5,-63.6938,295.22,52,41,4.06,AR,1706672888
335,Boromo,11.75,-2.9333,295.87,18,82,2.99,BF,1706672889
336,Terrace,54.5163,-128.6035,279.1,93,75,4.63,CA,1706672889
337,Vostochnyy,55.8167,37.8667,272.3,100,100,1.55,RU,1706672890
338,Cecerleg,47.475,101.4542,257.22,70,7,0.61,MN,1706672890
339,Hoemul-li,41.4339,129.67,274.9,66,14,2.08,KP,1706672891
340,Saint Paul Harbor,57.79,-152.4072,261.88,48,0,0.0,US,1706672892
341,Majene,-3.5403,118.9707,304.57,61,92,3.94,ID,1706672892
342,St. John's,47.5649,-52.7093,268.59,82,100,7.6,CA,1706672598
343,Codrington,-38.2667,141.9667,293.14,58,39,5.92,AU,1706672893
344,Grand Falls-Windsor,48.9332,-55.6649,254.54,83,7,1.31,CA,1706672894
345,Fort St. John,56.2499,-120.8529,278.09,60,20,7.2,CA,1706672894
346,Fabens,31.5023,-106.1586,290.77,31,100,1.47,US,1706672894
347,Shimoda,34.6667,138.95,288.21,85,60,6.89,JP,1706672895
348,Rémire-Montjoly,4.9167,-52.2667,299.17,100,100,2.06,GF,1706672864
349,Roboré,-18.3333,-59.75,297.32,76,12,2.15,BO,1706672896
350,Pariaman,-0.619,100.12,304.18,61,98,1.72,ID,1706672896
351,Qurayyat,31.3318,37.3428,276.25,70,40,0.0,SA,1706672897
